Box_conveyor;Part_conveyor;Grab;C_plus;Auto;Manual;Emergency_stop;Reset_button;Start;Stop;Part_at_place;Box_at_place;Detected;C_limit;Temps_occurrence
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58802462513
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58802573445
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58802703365
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58802719354
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58802847275
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58802879255
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58803055147
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58803184067
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58803215047
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58803246034
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58803278013
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58803326983
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58803358964
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58803485885
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58803725746
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58803966596
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58804029556
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58804143486
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58804271406
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58804335366
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58804367347
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58804412319
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58804684003
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58804700991
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58804813921
false;false;true;false;true;false;true;false;false;true;true;false;true;true;58804912860
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58804946839
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58804979820
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58805058772
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58805185696
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58805202686
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58805332604
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58805366584
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58805397565
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58805429544
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58805461526
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58805572457
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58805702375
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58805734356
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58805766336
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58805800315
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58805832295
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58805880266
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58805912246
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58805945226
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806010187
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806153157
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806218057
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806251036
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806380568
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806445526
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806510990
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806625921
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806688880
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806721860
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806816802
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58806849780
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58807122611
false;true;false;false;true;false;true;false;false;true;true;false;true;true;58807139601
false;true;false;false;true;false;true;false;false;true;true;false;true;true;58807155592
false;true;false;false;true;false;true;false;false;true;true;false;true;false;58807269521
false;true;false;false;true;false;true;false;false;true;true;false;false;false;58807334480
false;true;false;false;true;false;true;false;false;true;true;false;false;false;58807409980
false;true;false;false;true;false;true;false;false;true;false;false;false;false;58807475654
false;false;false;false;true;false;true;false;false;true;false;false;false;false;58807488636
false;false;false;false;true;false;true;false;false;true;false;false;false;false;58807538606
false;false;false;false;true;false;true;false;false;true;false;false;false;false;58807667033
true;false;false;false;true;false;true;false;false;true;false;false;false;false;58807683526
true;false;false;false;true;false;true;false;false;true;false;false;false;true;58807908388
false;false;false;false;true;false;true;false;false;true;false;true;false;true;58809884104
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810221893
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810252874
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810349815
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810430763
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810462744
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810559684
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810623645
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810655625
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810736574
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810768554
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810800536
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810863496
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58810993362
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58811264080
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58811281068
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58811519426
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58811585385
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58811681456
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58811824089
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58811916790
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58811950270
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58812256178
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58812274168
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58812287158
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58812407641
false;false;true;false;true;false;true;false;false;true;true;false;true;true;58812493362
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58812510351
